category,chapter,source_section
1A,1,"Build log — Five units, out the door"
1A,2,"Build log — Knob two, one unit up"
1A,2,"Part of Something"
1A,3,"Build log — Five into one"
1A,4,"Build log — the Action knob, the wires go in"
1A,5,"Build log — Off the dock, onto legs"
1A,6,"Build log — Off the sense, onto the doing"
1A,7,"Build log — The Furnace and the Inside Voice"
1A,8,"Build log — The last slot"
1A,9,"Lab note — Word-shapes, no words"
1A,9,"Build log — The Huggable Kludge"
1A,10,"Build log — The Conscientious knob"
1A,11,"Build log — The Extraverted knob"
1A,12,"Build log — The Honest knob"
1B,1,"Build log — Five units, out the door"
1B,2,"Build log — Knob two, one unit up"
1B,3,"Build log — Five into one"
1B,4,"Build log — the Action knob, the wires go in"
1B,5,"Build log — Off the dock, onto legs"
1B,6,"Build log — Off the sense, onto the doing"
1B,7,"Build log — The Furnace and the Inside Voice"
1B,8,"Build log — The last slot"
1B,9,"Build log — The Huggable Kludge"
1B,10,"(no material)"
1B,11,"Build log — The Extraverted knob"
1B,12,"Build log — The Honest knob"
1C,1,"Build log — Five units, out the door"
1C,2,"Build log — Knob two, one unit up"
1C,3,"Build log — Five into one"
1C,4,"Build log — the Action knob, the wires go in"
1C,5,"Build log — Off the dock, onto legs"
1C,6,"Build log — Off the sense, onto the doing"
1C,7,"Build log — The Furnace and the Inside Voice"
1C,8,"Build log — The last slot"
1C,9,"Build log — The Huggable Kludge"
1C,10,"Build log — The Conscientious knob"
1C,11,"Build log — The Extraverted knob"
1C,12,"Build log — The Honest knob"
2,1,"(no material)"
2,2,"Fisher Brewing Company"
2,3,"Coffee Garden"
2,4,"Pho Tay Ho"
2,5,"Urban Hill"
2,6,"The Roof"
2,7,"Arlo"
2,8,"Gourmandise"
2,9,"Chuck-A-Rama"
2,10,"Zest"
2,11,"Water Witch"
2,12,"Fisher Brewing Company"
3,1,"Hello"
3,2,"Somewhere to Be"
3,3,"Looking After Him"
3,4,"His Half"
3,5,"Weather-Maker"
3,6,"The Button"
3,7,"Empty Hands"
3,8,"The Cold Side of the Floor"
3,9,"Under Her Breath"
3,10,"The Downhill Letters"
3,11,"Two Old Sentences"
3,12,"In Her Own Hand"
4.1,1,"Notes on the Founding Retrospective"
4.1,2,"Notes on the Second Retrospective"
4.1,2,"The Bigger Picture"
4.1,2,"Thank You"
4.1,3,"Notes on the Third Retrospective"
4.1,4,"Notes on the Fourth Retrospective"
4.1,5,"Notes on the Fifth Retrospective"
4.1,6,"Notes on the Sixth Retrospective"
4.1,7,"Notes on the Seventh Retrospective"
4.1,8,"Notes on the Eighth Retrospective"
4.1,9,"Notes on the Ninth Retrospective"
4.1,10,"Notes on the Tenth Retrospective"
